EmployeeID,Age,Gender,Department,JobRole,Education,MaritalStatus,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,OverTime,DistanceFromHome,Attrition
204,49,Male,Research & Development,Research Scientist,Doctor,Married,11643,3,2,2,Yes,8,No
205,31,Male,Research & Development,Senior Scientist,Doctor,Single,10456,1,1,2,No,12,No
206,56,Female,Research & Development,Laboratory Technician,Below College,Divorced,7449,18,1,3,Yes,12,No
207,53,Male,Sales,Sales Executive,Doctor,Divorced,3645,17,2,2,No,7,No
208,57,Female,Research & Development,Manager,Below College,Single,7838,7,1,3,No,6,No
209,29,Male,Research & Development,Research Scientist,Below College,Divorced,3855,29,1,2,Yes,6,No
210,44,Male,Research & Development,Senior Scientist,Below College,Divorced,6397,32,4,1,No,26,Yes
211,45,Male,Research & Development,Research Scientist,Below College,Married,11019,10,2,3,No,9,No
212,29,Female,Research & Development,Manager,College,Single,7376,27,4,2,Yes,21,No
213,35,Female,Research & Development,Manager,Bachelor,Single,11359,16,1,3,No,27,No
214,19,Male,Sales,Sales Representative,Master,Divorced,2442,5,1,1,No,23,Yes
215,42,Male,Research & Development,Laboratory Technician,Doctor,Divorced,5242,13,4,1,No,3,Yes
216,50,Female,Research & Development,Manager,Bachelor,Divorced,10109,22,3,3,No,14,No
217,52,Male,Research & Development,Senior Scientist,Bachelor,Single,5945,18,2,3,No,19,No
218,31,Male,Sales,Manager,Below College,Divorced,7554,18,3,2,Yes,21,No
219,26,Female,Sales,Sales Representative,Below College,Single,8363,3,3,2,No,14,No
220,33,Male,Human Resources,HR Executive,Below College,Married,4285,11,3,3,No,18,No
221,37,Male,Research & Development,Senior Scientist,Bachelor,Single,6953,8,4,3,No,24,No
222,57,Female,Sales,Manager,Master,Married,10772,14,1,3,No,29,Yes
223,37,Male,Research & Development,Laboratory Technician,Doctor,Divorced,6688,27,4,2,No,3,No
224,44,Male,Human Resources,Manager,Below College,Single,2495,7,3,2,Yes,25,Yes
225,43,Male,Sales,Sales Representative,Bachelor,Married,2984,34,4,1,No,17,No
226,25,Male,Sales,Sales Representative,Master,Single,6292,25,3,1,No,10,No
227,41,Male,Research & Development,Research Scientist,Below College,Single,6830,12,4,3,Yes,11,Yes
228,57,Female,Sales,Sales Executive,Bachelor,Single,9826,11,1,1,No,7,No
229,44,Female,Research & Development,Research Scientist,Doctor,Divorced,6862,17,2,2,No,1,No
230,45,Female,Research & Development,Manager,Master,Single,4963,32,4,2,No,9,No
231,27,Female,Research & Development,Research Scientist,Bachelor,Divorced,6638,8,1,3,No,20,No
232,55,Male,Research & Development,Research Scientist,College,Single,12867,11,3,3,No,13,No
233,48,Male,Research & Development,Laboratory Technician,Below College,Married,7677,17,4,3,Yes,9,No
234,51,Female,Research & Development,Senior Scientist,Bachelor,Divorced,8614,27,4,3,No,23,No
235,53,Female,Research & Development,Laboratory Technician,Below College,Divorced,3332,6,4,1,No,1,No
236,35,Female,Research & Development,Laboratory Technician,Bachelor,Divorced,6610,30,3,2,No,17,No
237,29,Female,Research & Development,Laboratory Technician,Below College,Divorced,4475,4,2,3,No,13,No
238,44,Female,Sales,Sales Representative,Bachelor,Married,7560,5,3,1,No,10,No
239,54,Male,Sales,Sales Representative,Master,Married,2650,21,4,1,Yes,17,No
240,40,Male,Sales,Sales Executive,Bachelor,Married,2784,33,4,1,Yes,17,No
241,28,Male,Research & Development,Research Scientist,Master,Divorced,7233,34,1,3,No,4,No
242,35,Female,Human Resources,Manager,Below College,Married,3542,18,1,3,No,28,No
243,36,Male,Research & Development,Laboratory Technician,Bachelor,Single,2278,11,2,1,No,7,Yes
244,58,Female,Research & Development,Senior Scientist,College,Married,9355,16,3,3,No,12,No
245,53,Female,Research & Development,Manager,Bachelor,Single,2000,26,3,1,No,17,No
246,45,Male,Human Resources,Manager,Master,Divorced,11340,34,4,3,Yes,20,Yes
247,49,Female,Research & Development,Research Scientist,Bachelor,Divorced,6161,12,3,2,Yes,23,Yes
248,39,Male,Research & Development,Research Scientist,Bachelor,Married,9008,9,2,2,No,12,No
249,47,Male,Sales,Sales Representative,Bachelor,Divorced,6190,0,3,1,Yes,8,No
250,18,Female,Research & Development,Manager,Bachelor,Married,5608,22,1,2,Yes,4,No
251,25,Male,Sales,Manager,Master,Single,6575,15,2,1,No,10,Yes
252,19,Female,Research & Development,Laboratory Technician,Doctor,Divorced,8021,30,4,2,No,8,No
253,44,Female,Sales,Manager,Doctor,Divorced,2648,29,1,1,No,21,Yes
254,34,Male,Research & Development,Manager,College,Married,6168,7,2,2,Yes,28,Yes
255,39,Female,Research & Development,Manager,Master,Single,7065,11,3,3,No,18,No
256,29,Male,Research & Development,Research Scientist,Below College,Divorced,7568,28,2,2,Yes,6,No
257,58,Female,Research & Development,Senior Scientist,Doctor,Single,6076,8,3,2,No,4,No
258,23,Female,Research & Development,Manager,Master,Divorced,6873,16,2,3,No,1,No
259,27,Male,Research & Development,Manager,Doctor,Single,6078,23,4,3,No,15,No
260,36,Female,Sales,Manager,Doctor,Married,6998,16,1,2,No,28,No
261,35,Female,Research & Development,Senior Scientist,Bachelor,Single,9587,30,2,1,No,11,No
262,40,Male,Research & Development,Senior Scientist,Doctor,Married,5699,8,4,3,Yes,3,No
263,45,Female,Research & Development,Research Scientist,Below College,Single,4303,9,1,3,No,14,No
264,39,Male,Research & Development,Laboratory Technician,Master,Married,2968,9,3,1,No,6,No
265,46,Male,Research & Development,Senior Scientist,Below College,Married,11544,19,3,3,Yes,28,No
266,59,Male,Sales,Sales Executive,Below College,Married,7040,5,3,1,No,23,No
267,29,Female,Research & Development,Laboratory Technician,Bachelor,Single,6911,8,4,3,No,23,No
268,21,Female,Research & Development,Laboratory Technician,Bachelor,Single,6627,28,2,2,No,15,Yes
269,43,Female,Research & Development,Senior Scientist,Below College,Divorced,7842,27,2,1,Yes,26,Yes
270,42,Female,Sales,Sales Representative,Bachelor,Single,6629,18,3,1,No,8,No
271,18,Male,Sales,Manager,Master,Married,5842,30,1,2,Yes,17,No
272,28,Female,Research & Development,Research Scientist,Below College,Married,2000,26,2,3,No,26,No
273,39,Female,Sales,Sales Representative,College,Married,2000,29,3,2,No,8,No
274,34,Female,Sales,Sales Executive,Bachelor,Single,10333,10,3,2,Yes,4,No
275,43,Female,Human Resources,Manager,Below College,Divorced,8558,22,3,2,No,26,Yes
276,51,Male,Research & Development,Research Scientist,Bachelor,Divorced,6298,15,2,2,No,13,No
277,47,Male,Research & Development,Senior Scientist,Bachelor,Divorced,7905,8,1,2,No,28,No
278,38,Female,Sales,Manager,College,Married,7543,7,4,3,Yes,27,Yes
279,27,Female,Research & Development,Research Scientist,Below College,Married,8360,0,4,1,No,17,No
280,52,Male,Sales,Sales Representative,Below College,Divorced,6046,26,2,2,No,13,No
281,35,Female,Research & Development,Manager,Below College,Married,7717,4,2,1,Yes,2,No
282,28,Female,Sales,Sales Executive,Bachelor,Single,8143,34,4,2,No,13,No
283,43,Female,Research & Development,Manager,Doctor,Single,8154,19,3,2,Yes,29,Yes
284,45,Female,Sales,Manager,Below College,Divorced,7847,3,2,3,No,1,No
285,53,Female,Research & Development,Senior Scientist,Doctor,Married,6657,22,1,3,No,21,No
286,23,Male,Sales,Sales Executive,Below College,Married,9775,6,3,2,Yes,20,Yes
287,21,Female,Sales,Manager,Master,Married,8529,4,1,3,No,5,No
288,53,Male,Research & Development,Laboratory Technician,Doctor,Married,9844,20,4,1,No,23,No
289,51,Male,Research & Development,Manager,Below College,Single,8126,24,3,1,No,17,No
290,34,Male,Research & Development,Senior Scientist,College,Divorced,2742,31,3,3,No,15,No
291,34,Female,Research & Development,Laboratory Technician,Bachelor,Single,5104,5,4,1,No,17,No
292,18,Male,Research & Development,Manager,Bachelor,Married,3749,14,4,2,Yes,11,No
293,50,Female,Sales,Sales Representative,College,Single,6829,28,3,2,No,17,No
294,44,Female,Research & Development,Research Scientist,Doctor,Married,4252,34,3,3,No,25,Yes
295,19,Female,Research & Development,Manager,Bachelor,Single,4876,2,2,3,No,18,No
296,29,Female,Sales,Sales Executive,Doctor,Divorced,8430,4,3,1,No,5,No
297,50,Female,Research & Development,Laboratory Technician,College,Single,3708,1,2,3,No,1,No
298,40,Female,Research & Development,Manager,Bachelor,Married,9589,28,4,1,No,10,No
299,46,Female,Sales,Sales Representative,Below College,Married,10283,25,4,1,Yes,17,No
300,51,Male,Sales,Sales Representative,Bachelor,Married,4966,23,2,2,No,11,No
301,55,Female,Sales,Manager,Bachelor,Single,6993,19,3,3,No,21,Yes
302,44,Female,Human Resources,HR Executive,Below College,Single,4468,31,4,2,No,4,No
303,36,Female,Sales,Sales Executive,Below College,Married,3259,20,3,2,No,25,Yes
304,21,Male,Research & Development,Research Scientist,Below College,Single,7767,18,1,2,No,13,No
305,55,Male,Research & Development,Laboratory Technician,College,Married,4414,20,3,1,No,15,No
306,43,Male,Research & Development,Manager,Master,Single,9428,19,1,3,Yes,23,Yes
307,50,Male,Research & Development,Senior Scientist,Doctor,Divorced,10762,32,3,2,No,23,No
308,53,Male,Research & Development,Manager,Doctor,Married,5747,2,2,2,No,24,No
309,59,Male,Sales,Sales Representative,Below College,Single,9182,27,1,2,No,18,No
310,55,Female,Research & Development,Research Scientist,Master,Married,12409,14,4,2,No,22,No
311,21,Female,Research & Development,Research Scientist,Doctor,Divorced,8482,14,1,3,No,6,No
312,38,Female,Sales,Sales Representative,Doctor,Single,6458,9,4,1,No,3,No
313,21,Male,Research & Development,Manager,Below College,Divorced,13872,20,1,3,Yes,24,No
314,49,Male,Research & Development,Senior Scientist,Master,Married,9611,15,1,1,Yes,9,Yes
315,39,Male,Research & Development,Manager,Doctor,Married,5689,15,3,2,No,22,No
316,30,Female,Research & Development,Manager,Master,Divorced,8507,22,1,1,No,21,No
317,47,Female,Research & Development,Laboratory Technician,Below College,Married,5797,9,3,3,Yes,9,Yes
318,36,Female,Research & Development,Manager,Master,Divorced,7562,8,3,1,No,19,No
319,18,Male,Research & Development,Laboratory Technician,College,Married,9038,33,1,3,Yes,17,No
320,41,Female,Research & Development,Manager,Below College,Divorced,5896,12,1,2,No,7,No
321,34,Male,Human Resources,HR Executive,Below College,Divorced,13051,31,2,1,No,9,No
322,39,Female,Research & Development,Research Scientist,Below College,Divorced,3720,6,2,1,Yes,2,Yes
